category,type,difficulty,question,correct_answer,incorrect_answers
"Science: Computers","multiple","medium","Which of these programming languages is a low-level language?","Assembly","Python|C#|Pascal"
"History","boolean","easy","Adolf Hitler was tried at the Nuremberg trials.","False","True"
"Entertainment: Board Games","boolean","medium","&quot;Rich Uncle Pennybags&quot; from the board game &quot;Monopoly&quot; wears a monocle.","False","True"
"Entertainment: Video Games","multiple","medium","In Forza Motorsport 6, which of these track-exclusive cars was NOT featured in the game, either originally with the game or added as DLC?","Aston Martin Vulcan","Ferrari FXX-K|McLaren P1 GTR|Lotus E23"
"Entertainment: Music","multiple","medium","Which of these is not a member of the virtual band Gorillaz?","Phi Cypher","Murdoc Niccals|Noodle|Russel Hobbs"
"Entertainment: Comics","multiple","medium","Found in the Marvel Comics fictional universe, what is the name of the nearly indestructible metal that coats Wolverine&#039;s bones and claws?","Adamantium","Titanium|Vibranium|Carbonadium"
"Science: Computers","multiple","hard","What was the first company to use the term &quot;Golden Master&quot;?","Apple","IBM|Microsoft|Google"
"Entertainment: Film","boolean","easy","Shaquille O&#039;Neal appeared in the 1997 film &quot;Space Jam&quot;.","False","True"
"Entertainment: Video Games","multiple","medium","What former MOBA, created by Waystone Games and published by EA, was shut down in 2014?","Dawngate","Strife|League of Legends|Heroes of Newerth"
"Entertainment: Board Games","multiple","easy","Carcassonne is based on which French town?","Carcassonne","Paris|Marseille|Clermont-Ferrand"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","What was studio Trigger&#039;s first original long-form animated series for television?","Kill la Kill","Kiznaiver|Inferno Cop|Gurren Lagann"
"Entertainment: Video Games","multiple","easy","In what year was the first &quot;Mass Effect&quot; game released?","2007","2008|2009|2010"
"Sports","multiple","easy","What was the final score of the Germany vs. Brazil 2014 FIFA World Cup match?","7 - 1","0 - 1|3 - 4|16 - 0"
"Entertainment: Music","boolean","easy","Stevie Wonder&#039;s real name is Stevland Hardaway Morris.","True","False"
"Vehicles","multiple","hard","The difference between the lengths of a Boeing 777-300ER and an Airbus A350-1000 is closest to:","0.1m","1m|10m |100m"
"Science: Computers","boolean","medium","The open source program Redis is a relational database server.","False","True"
"History","multiple","hard","Which of the following Physicists aided Nazi Germany in their production of a nuclear weapon?","Werner Heisenberg","John von Neumann|Albert Einstein|Max Planck"
"History","boolean","easy","Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.","True","False"
"Sports","multiple","easy","Which year did Jenson Button won his first ever Formula One World Drivers&#039; Championship?","2009","2010|2007|2006"
"Science &amp; Nature","multiple","hard","What is the name for the auditory illusion of a note that seems to be rising infinitely?","Shepard Tone","Glissandro Illusion|Fransen Effect|McGurck Effect"
"Entertainment: Video Games","multiple","medium","What CoD &quot;Deathstreak&quot; is only featured in Call of Duty : Modern Warfare 2?","Copycat"," Martrydom|Final Stand|Revenge"
"Animals","multiple","hard","What is the scientific name of the Budgerigar?","Melopsittacus undulatus","Nymphicus hollandicus|Pyrrhura molinae|Ara macao"
"Entertainment: Film","multiple","hard","What was the first superhero film James Gunn was involved with?","The Specials","Super|Guardians of the Galaxy|Brightburn"
"Entertainment: Television","multiple","hard","What was the name of the inflatable duck sacrified to the crowd at the end of Episode 34 of the 18th season of Big Brother?","Pablo","Esteban|Carlos|Duckster"
"General Knowledge","multiple","medium","What character was once considered to be the 27th letter of the alphabet?","Ampersand","Interrobang|Tilde|Pilcrow"
"Science &amp; Nature","multiple","hard","What element on the periodic table has 92 electrons?","Uranium","Sulfur|Hydrogen|Iron"
"General Knowledge","multiple","medium","In the Morse code, which letter is indicated by 3 dots? ","S","O|A|C"
"History","multiple","medium","When did the Battle of the Bulge end?","January 25, 1945","August 6, 1945|December 7, 1941|December 16, 1944"
"General Knowledge","multiple","hard","According to Fair Works Australia, how long do you have to work to get Long Service Leave?","7 years","2 years|8 years|6 months"
"Geography","multiple","easy","What is the name of New Zealand&#039;s indigenous people?","Maori","Vikings|Polynesians|Samoans"
"Entertainment: Video Games","multiple","hard","Which game in the &quot;Halo&quot; series has the strongest iteration of the shotgun?","Halo: Combat Evolved","Halo 2|Halo 3|Halo: Reach"
"Mythology","multiple","hard","Who is a minor god that is protector and creator of various arts, such as cheese making and bee keeping.","Aristaeus","Autonoe|Carme|Cephisso"
"Entertainment: Music","multiple","easy","What is the stage name of English female rapper Mathangi Arulpragasam, who is known for the song &quot;Paper Planes&quot;?","M.I.A.","K.I.A.|C.I.A.|A.I.A."
"Entertainment: Film","multiple","medium","Who played Sgt. Gordon Elias in &#039;Platoon&#039; (1986)?","Willem Dafoe","Charlie Sheen|Matt Damon|Johnny Depp"
"Science: Gadgets","multiple","medium","Out of all of the NASA Space Shuttles, which 2 have been destroyed in disasters?","Challenger and Columbia","Enterprise and Atlantis|Discovery and Endeavour|None of the Above"
"Entertainment: Video Games","boolean","easy","In the Monster Hunter Series, it is possible to capture Elder Dragons.","False","True"
"General Knowledge","multiple","hard","Which of the following is not another name for the eggplant?","Potimarron","Brinjal|Guinea Squash|Melongene"
"Entertainment: Cartoon &amp; Animations","multiple","medium","Nickelodeon is owned by what parent company?","Viacom","CBS|FOX|ABC"
"Politics","boolean","medium","Helen Clark was the 37th Prime Minister of Australia.","False","True"
"Geography","boolean","easy","There is a city called Rome in every continent on Earth.","False","True"
"General Knowledge","multiple","easy","Which type of cutlery is most suited for eating soup?","Spoon","Fork|Knife|Chopsticks"
"Entertainment: Video Games","multiple","easy","In the &quot;Hitman&quot; series, what is the name of the main character?","Agent 47","Agent 27|Agent Smith|Agent 67"
"Science &amp; Nature","multiple","hard","What is the unit of electrical inductance?","Henry","Weber|Coulomb|Mho"
"Entertainment: Video Games","multiple","medium","When was &quot;System Shock&quot; released?","1994","1995|2000|1998"
"Entertainment: Video Games","boolean","easy","In &quot;Mario Kart 64&quot;, Waluigi is a playable character.","False","True"
"Sports","multiple","easy","What team did England beat to win in the 1966 World Cup final?","West Germany","Soviet Union|Portugal|Brazil"
"Science &amp; Nature","multiple","hard","Coulrophobia is the irrational fear of what?","Clowns","Cemeteries|Needles|Tunnels"
"Entertainment: Film","multiple","medium","Which of the following actors does not play a role in the movie &quot;The Usual Suspects?&quot;","Steve Buscemi","Kevin Spacey|Benicio Del Toro|Gabriel Byrne"
"Animals","multiple","easy","How many teeth does an adult rabbit have?","28","30|26|24"
"Geography","multiple","medium","On which continent is the country of Angola located?","Africa","South America|Europe|Asia"
"Entertainment: Music","multiple","hard","Which of these artists did NOT feature in the fitfh studio album &quot;Humanz&quot; by British virtual band Gorillaz?","Snoop Dogg","Vince Staples|Pusha T|Danny Brown"
"Entertainment: Music","multiple","hard","What is Pink Floyd&#039;s first album?","The Piper at the Gates of Dawn","The Dark Side of the Moon|Wish You Were Here|Meddle"
"Science: Computers","boolean","easy","The first IBM PC was released in 1981.","True","False"
"Entertainment: Video Games","multiple","hard","In the &quot;Devil May Cry&quot; franchise, which game is chronologically first?","Devil May Cry 3: Dante&#039;s Awakening ","Devil May Cry 4|Devil May Cry|Devil May Cry 2"
"History","multiple","easy","Who was the Prime Minister of Japan when Japan declared war on the US?","Hideki Tojo","Michinomiya Hirohito|Isoroku Yamamoto|Fumimaro Konoe"
"Entertainment: Video Games","multiple","medium","The &#039;64&#039; in the Nintendo-64 console refers to what?","The bits in the CPU architecture","The number of megabytes of RAM|Capacity of the ROM Cartridges in megabytes|Clock speed of the CPU in Hertz"
"General Knowledge","multiple","medium","Which of these Nicktoons were NOT originally a short on Oh Yeah! Cartoons before becoming their own series?","Danny Phantom","ChalkZone|My Life as a Teenage Robot|The Fairly OddParents"
"General Knowledge","multiple","easy","What does VR stand for?","Virtual Reality","Very Real|Visual Recognition|Voice Recognition"
"Sports","multiple","easy","Which African American is in part responsible for integrating  Major League baseball?","Jackie Robinson","Curt Flood|Roy Campanella|Satchell Paige"
"General Knowledge","multiple","medium","What is the Swedish word for &quot;window&quot;?","F&ouml;nster","H&aring;l|Sk&auml;rm|Ruta"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","What is the name of Ryūko Matoi&#039;s theme song in the anime Kill la Kill?","Before My Body Is Dry","Don&#039;t Lose Your Way|Till I Die|Suck Your Blood"
"History","multiple","medium","One of the deadliest pandemics, the &quot;Spanish Flu&quot;, killed off what percentage of the human world population at the time?","3 to 6 percent","6 to 10 percent|1 to 3 percent|less than 1 percent"
"Entertainment: Video Games","multiple","hard","How many aces can be shot down through the entirety of &quot;Ace Combat Zero: The Belkan War&quot;?","169","100|132|245"
"General Knowledge","boolean","easy","Adolf Hitler was born in Australia. ","False","True"
"Entertainment: Music","multiple","easy","Which song on Daft Punk&#039;s &quot;Random Access Memories&quot; features Pharrell Williams?","Get Lucky","Doin&#039; It Right|Instant Crush|The Game of Love"
"Geography","multiple","hard","In which city is the Big Nickel located in Canada?","Sudbury, Ontario","Calgary, Alberta|Halifax, Nova Scotia |Victoria, British Columbia"
"Entertainment: Video Games","multiple","medium","Which of these is NOT a name of a city in the main island of PLAYERUNKNOWN&#039;S BATTLEGROUNDS?","Belushya Guba","Yasnaya Polyana|Pochinki|Georgopol"
"Animals","boolean","medium","Hyenas are more closely related to cats than to dogs.","True","False"
"Geography","multiple","medium","Which of these countries is not a United Nations member state?","Niue","Tuvalu|South Sudan|Montenegro"
"Geography","boolean","easy","The Republic of Malta is the smallest microstate worldwide.","False","True"
"General Knowledge","multiple","easy","In &quot;Shrek&quot;, what comedic actor voices Donkey?","Eddie Murphy","Chris Rock|Richard Pryor|Bernie Mac"
"Animals","multiple","medium","What are rhino&#039;s horn made of?","Keratin","Bone|Ivory|Skin"
"Sports","multiple","easy","&quot;Stadium of Light&quot; is the home stadium for which soccer team?","Sunderland FC","Barcelona FC|Paris Saints-Germain|Manchester United"
"Entertainment: Film","multiple","hard","In what year did Clint Eastwood star as Inspector Harry Callahan in the film &quot;Dirty Harry&quot;?","1971","1975|1983|1969"
"Entertainment: Video Games","multiple","medium","Which company did Bethesda purchase the Fallout Series from?","Interplay Entertainment ","Capcom|Blizzard Entertainment|Nintendo"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In the anime, &quot;Fullmetal Alchemist&quot;, who is known as the &#039;Flame Alchemist&#039;?","Roy Mustang","Edward Elric|Maes Hughes|Lin Yao"
"Animals","boolean","easy","In 2016, the IUCN reclassified the status of Giant Pandas from endangered to vulnerable.","True","False"
"Sports","multiple","easy","What year did the New Orleans Saints win the Super Bowl?","2010","2008|2009|2011"
"Science &amp; Nature","multiple","hard","What is the scientific name for the extinct hominin known as &quot;Lucy&quot;?","Australopithecus Afarensis","Australopithecus Africanus|Australopithecus Architeuthis|Australopithecus Antaris"
"Entertainment: Music","multiple","medium","What year was Weezer&#039;s album &quot;Pinkerton&quot; released? ","1996","1990|2001|1994"
"Entertainment: Comics","multiple","medium","In Calvin and Hobbes, what is the name of Susie&#039;s stuffed rabbit?","Mr. Bun","Mr. Bunbun|Mr. Rabbit|Mr. Hoppy"
"Sports","multiple","easy","Which NFL team plays for New England?","Patriots","Chiefs|Dolphins|49ers"
"Entertainment: Music","multiple","easy","Who is the lead singer of Pearl Jam?","Eddie Vedder","Ozzy Osbourne|Stone Gossard|Kurt Cobain"
"Entertainment: Video Games","multiple","hard","In &quot;Call Of Duty: Zombies&quot;, what does the game traditionally reward you for completing a boss round?","Max Ammo","A Pack-A-Punched gun|Death Machine|Monkey Bombs"
"Science: Computers","multiple","easy","Which computer hardware device provides an interface for all other connected devices to communicate?","Motherboard","Central Processing Unit|Hard Disk Drive|Random Access Memory"
"Entertainment: Video Games","multiple","medium","In the game Overwatch, which hero out of the following 4 is from Brazil?","L&uacute;cio","Sombra|McCree|Symmetra"
"Sports","multiple","medium","Which country is hosting the 2022 FIFA World Cup?","Qatar","Uganda|Vietnam|Bolivia"
"General Knowledge","multiple","easy","Which of the following nations was NOT a belligerent in World War I?","Denmark","Portugal|Greece|Romania"
"Science: Computers","boolean","hard","DHCP stands for Dynamic Host Configuration Port.","False","True"
"General Knowledge","multiple","easy","In &quot;Katamari Damacy&quot;, you control a character known as:","The Prince","Fujio|Ichigo |Foomin"
"History","multiple","hard","The Hagia Sophia was commissioned by which emperor of the Byzantine Empire?","Justinian I","Constantine IV|Arcadius|Theodosius the Great"
"Entertainment: Cartoon &amp; Animations","multiple","medium","Which &quot;Toy Story&quot; character was voiced by Don Rickles?","Mr. Potato Head","Slinky Dog|Hamm|Rex"
"Entertainment: Video Games","multiple","hard","How many partners can you obtain in Paper Mario: The Thousand-Year Door?","7","6|9|10"
"History","multiple","easy","In what year was the M1911 pistol designed?","1911","1907|1899|1917"
"History","multiple","easy","In which year did the Invasion of Kuwait by Iraq occur?","1990","1992|1988|1986"
"Entertainment: Video Games","multiple","hard","What vault in the video game &quot;Fallout 3&quot; is the home of multiple clones named Gary?","Vault 108","Vault 101|Vault 87|Vault 21"
"Entertainment: Film","boolean","hard","&quot;Cube&quot;, &quot;Cube 2: Hypercube&quot; and &quot;Cube Zero&quot; were directed by the same person.","False","True"
"General Knowledge","multiple","easy","What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?","Spruce Goose","Noah&#039;s Ark|Fat Man|Trojan Horse"
"Entertainment: Music","multiple","hard","What song includes the words &quot;Numa Numa&quot; which was subject to a Viral Video in 2004?","Dragostea Din Tei","Despacito|Gangnam Style|Asereje"
"Entertainment: Television","multiple","easy","In &quot;Star Trek: Voyager&quot;, which episode did Voyager establish real-time communication with Starfleet Headquarters?","Pathfinder","Message In A Bottle|Someone To Watch Over Me|Counterpoint"
"Entertainment: Video Games","multiple","medium","Which of these is not a playable character in &quot;Enter The Gungeon?&quot;","The Heavy","The Bullet|The Robot|The Cultist"
"History","multiple","hard","What was the code name for the Allied invasion of Southern France on August 15th, 1944?","Operation Dragoon","Operation Overlord|Operation Market Garden|Operation Torch"
"Entertainment: Video Games","multiple","easy","Which Elite Four member from the first generation of Pok&eacute;mon became the champion in the next generation?","Lance","Agatha|Bruno|Lorelei"
"Science: Computers","multiple","hard","What type of sound chip does the Super Nintendo Entertainment System (SNES) have?","ADPCM Sampler","FM Synthesizer|Programmable Sound Generator (PSG)|PCM Sampler"
"Geography","multiple","medium","Where is the &quot;Sonoran Desert&quot; located?","North America","South America|Asia|Africa"
"Politics","boolean","easy","One of Donald Trump&#039;s 2016 Presidential Campaign promises was to build a border wall between the United States and Mexico.","True","False"
"Entertainment: Books","multiple","medium","Which Russian author wrote the epic novel War and Peace?","Leo Tolstoy","Fyodor Dostoyevsky|Alexander Pushkin|Vladimir Nabokov"
"Science &amp; Nature","boolean","medium","The most frequent subconscious activity repeated by the human body is blinking.","False","True"
"Entertainment: Music","boolean","easy","American rapper Dr. Dre actually has a Ph.D. doctorate.","False","True"
"Entertainment: Comics","multiple","medium","Which issue of the &quot;Sonic the Hedgehog&quot; comic did Scourge the Hedgehog make his first appearance?","Sonic the Hedgehog #11","Sonic Universe #32|Sonic the Hedgehog #161|Sonic the Hedgehog #47"
"Entertainment: Video Games","multiple","medium","Which of these characters was almost added into Super Smash Bros. Melee, but not included as the game was too far in development?","Solid Snake","Pit|Meta Knight|R.O.B."
"Entertainment: Video Games","multiple","medium","Which character does the player play as in the video game &quot;Bastion&quot;?","The Kid","Rucks|Zulf|Zia"
"General Knowledge","boolean","hard","Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.","True","False"
"Entertainment: Video Games","multiple","medium","In the co-op shooter Payday 2, which contact helps you break out Hoxton?","The Dentist","Vlad|The Elephant|The Butcher"
"Science &amp; Nature","multiple","easy","What is the chemical makeup of water?","H20","C12H6O2|CO2|H"
"Entertainment: Video Games","multiple","hard","In &quot;Starbound&quot;, according to the asset files, the description of the &quot;Erchius Ghost&quot; is the same as which other assets?","Spookit","Petricub|Trictus|Pyromantle"
"History","multiple","medium","The minigun was designed in 1960 by which manufacturer.","General Electric","Colt Firearms|Heckler &amp; Koch|Sig Sauer"
"Science: Computers","multiple","medium","The teapot often seen in many 3D modeling applications is called what?","Utah Teapot","Pixar Teapot|3D Teapot|Tennessee Teapot"
"Entertainment: Video Games","multiple","easy","In the lore of the PAYDAY series, which criminal was arrested and then latered rescued by the PAYDAY gang?","Hoxton","Dallas|Wolf|Chains"
"General Knowledge","multiple","hard","Originally another word for poppy, coquelicot is a shade of what?","Red","Green|Blue|Pink"
"Entertainment: Music","multiple","medium","Saul Hudson (Slash) of the band Guns N&#039; Roses is known for playing what type of guitar?","Les Paul Standard","Fender Stratocaster|LsL Mongrel|Gretsch Falcon"
"Animals","boolean","medium","An octopus can fit through any hole larger than its beak.","True","False"
"Entertainment: Film","boolean","easy","Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.","True","False"
"Entertainment: Video Games","multiple","easy","The Khajiit are a race of cat-like creatures from which epic series of role-playing games, set across the land of Tamriel?","The Elder Scrolls","Lord of the Rings|The Witcher|Neverwinter Nights"
"History","multiple","hard","The main objective of the German operation &quot;Case Blue&quot; during World War II was originally to capture what?","Caucasus","Stalingrad|Crimea|Voronezh"
"Science &amp; Nature","multiple","hard","What common name is given to the medial condition, tibial stress syndrome (MTSS)?","Shin Splints","Tennis Elbow|Carpal Tunnel|Housemaid&#039;s Knee"
"Entertainment: Music","multiple","easy","Which English guitarist has the nickname &quot;Slowhand&quot;?","Eric Clapton","Mark Knopfler|Jeff Beck|Jimmy Page"
"Entertainment: Comics","multiple","medium","Which of these game-based comics were published in 2011 by DC Comics?","Infamous","Left 4 Dead: The Sacrifice|Prototype|Kane &amp; Lynch"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In Pok&eacute;mon Chronicles, why was Misty afraid of Gyarados?","She crawled into it&#039;s mouth as a baby.","She found it scary.|She was badly injured from it.|It is part Bug."
"Entertainment: Video Games","boolean","medium","Pistons were added to Minecraft in Beta 1.5.","False","True"
"Entertainment: Video Games","multiple","medium","In the &quot;Call Of Duty: Zombies&quot; map &quot;Origins&quot;, how many steps are there to upgrade a Staff?","4","7|5|3"
"General Knowledge","multiple","easy","Which country developed the AK-47 assault rifle?","Soviet Union","Iran|Israel|Poland"
"Geography","multiple","easy","How many countries does the United States share a land border with?","2","1|3|4"
"Science: Mathematics","multiple","medium","In the hexadecimal system, what number comes after 9?","The Letter A","10|The Number 0|16"
"Science: Computers","multiple","hard","What was the name of the first Bulgarian personal computer?","IMKO-1","Pravetz 82|Pravetz 8D|IZOT 1030"
"Entertainment: Board Games","boolean","easy","In the Dungeons and Dragons universe, Beshaba is the deity of bad luck. ","True","False"
"History","multiple","medium","The Fallingwater House, located in Pennsylvania, was designed by which architect?","Frank Lloyd Wright","Antoni Gaudi|Frank Gehry|Le Corbusier"
"Science: Computers","boolean","easy","Pointers were not used in the original C programming language; they were added later on in C++.","False","True"
"Entertainment: Video Games","multiple","medium","In World of Warcraft lore, who was first to have the title &quot;The Ashbringer&quot;?","Alexandros Mograine","Tirion Fordring|Arthas Menethil|Uther the Lightbringer"
"General Knowledge","multiple","medium","What fast food chain has the most locations globally? ","Subway","Starbucks|McDonalds|KFC"
"Vehicles","multiple","medium","Which of the following car models has been badge-engineered (rebadged) the most?","Isuzu Trooper","Holden Monaro|Suzuki Swift|Chevy Camaro"
"Entertainment: Music","multiple","medium","EDM record label Monstercat is based in which country?","Canada","United States|Australia|United Kingdom"
"Entertainment: Television","multiple","hard","What was the UK &quot;Who Wants to be a Millionaire?&quot; cheating scandal known as?","Major Fraud","Ingram Cheater|Coughing Major|Millionaire Crime"
"Entertainment: Video Games","multiple","easy","In the video game &quot;Postal 2&quot;, what is the name of Postal Dude&#039;s dog?","Champ","Snoopy|Krotchy|Duke"
"Geography","multiple","easy","How many time zones does China have?","1","3|4|2"
"Entertainment: Film","multiple","medium","In what year was the first Transformers movie released?","1986","2007|1984|2009"
"Entertainment: Video Games","boolean","easy","The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.","False","True"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","Which of the following countries does &quot;JoJo&#039;s Bizarre Adventure: Stardust Crusaders&quot; not take place in?","Philippines","India|Pakistan|Egypt"
"Vehicles","boolean","medium","The Chevrolet Corvette has always been made exclusively with V8 engines only.","False","True"
"Entertainment: Musicals &amp; Theatres","multiple","hard","Which Shakespeare play features the stage direction &quot;Enter a messenger, with two heads and a hand&quot;?","Titus Andronicus","Othello|Macbeth|King Lear"
"Entertainment: Film","multiple","easy","Which animated movie was first to feature a celebrity as a voice actor?","Aladdin","Toy Story|James and the Giant Peach|The Hunchback of Notre Dame"
"Entertainment: Video Games","multiple","medium","&quot;Rollercoaster Tycoon&quot; was programmed mostly entirely in...","x86 Assembly","C++|C|ALGOL"
"Entertainment: Video Games","multiple","medium","Mirror&#039;s Edge Catalyst takes place in the City of...?","Glass","Mirrors|Purity|Diamonds"
"Vehicles","multiple","hard","Which of the following FIA Rally cars was approved for use in the Group B class first? ","Porsche 911 Turbo","Audi Quattro A2|BMW M1|Lancia Rally 037"
"Science: Mathematics","multiple","medium","How many zeros are there in a googol?","100","10|1,000|1,000,000"
"General Knowledge","boolean","medium","Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese","True","False"
"General Knowledge","multiple","medium","What is a Burgee?","A flag","A rope|A window|A type of food"
"Entertainment: Music","multiple","medium","What is the real name of Canadian electronic music producer deadmau5?","Joel Zimmerman","Sonny Moore|Adam Richard Wiles|Thomas Wesley Pentz"
"General Knowledge","multiple","hard","Which of these cities does NOT have a United States Minting location?","St. Louis, MO","San Fransisco, CA|Philidelphia, PA|West Point, NY"
"Celebrities","multiple","medium","Which of these celebrities was not a member of the Jackson 5?","Bo Jackson","Tito Jackson|Jermaine Jackson|Marlon Jackson"
"Entertainment: Music","multiple","easy","Which artist released the 2012 single &quot;Harlem Shake&quot;, which was used in numerous YouTube videos in 2013?","Baauer","RL Grime|NGHTMRE|Flosstradamus"
"History","multiple","medium","Who was the only US President to be elected four times?","Franklin Roosevelt","Theodore Roosevelt|George Washington|Abraham Lincoln"
"Sports","multiple","medium","Who won the 2011 Stanley Cup?","Boston Bruins","Montreal Canadiens|New York Rangers|Toronto Maple Leafs"
"Entertainment: Music","multiple","easy","What is the real name of American rapper Eminem, also known as Slim Shady?","Marshall Mathers","Calvin Broadus|Shawn Carter|Nasir Jones"
"Entertainment: Television","multiple","hard","In &quot;Star Trek&quot;, who was the founder of the Klingon Empire and its philosophy?","Kahless the Unforgettable","Lady Lukara of the Great Hall|Molor the Unforgiving|Dahar Master Kor"
"Entertainment: Video Games","multiple","medium","Who is the creator of the free, open-source rhythm game &#039;osu!&#039;?","Dean &#039;Peppy&#039; Herbert","Daisuke &#039;Pixel&#039; Amaya|Eric &#039;ConcernedApe&#039; Barone|Toby &#039;FwugRadiation&#039; Fox"
"History","boolean","easy","The Tiananmen Square protests of 1989 were held in Hong Kong.","False","True"
"Entertainment: Video Games","multiple","easy","In the Super Smash Bros. series, which character was the first one to return to the series after being absent from a previous game?","Dr. Mario","Mewtwo|Lucas|Roy"
"General Knowledge","multiple","medium","Which month is Black History Month in the US?","February","May|November|August"
"History","multiple","easy","How long did World War II last?","6 years","4 years|5 years|7 years"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In &quot;Highschool DxD&quot;, Koneko Toujou is from what race?","Nekomata","Kitsune|Human|Kappa"
"Science &amp; Nature","multiple","medium","Which of these is a type of stretch/deep tendon reflex?","Ankle jerk reflex","Gag reflex|Pupillary light reflex|Scratch reflex"
"Politics","multiple","hard","Which letter do you need to have on a European driver license in order to ride any motorbikes?","A","X|D|B"
"Entertainment: Video Games","multiple","hard","In the original &quot;Super Mario Bros.&quot;, what is the acceleration of Mario if he was in free fall?","91.28 m/s^2","110  m/s^2|9.42  m/s^2|4.4  m/s^2"
"Animals","multiple","medium","What type of animal is a natterjack?","Toad","Bird|Fish|Insect"
"Entertainment: Video Games","multiple","medium","In the game &quot;Persona 4&quot;, what is the canonical name of the protagonist?","Yu Narukami","Chino Mashido|Tunki Sunada|Masaki Narinaka"
"Entertainment: Books","multiple","hard","In the Magic: The Gathering universe, the Fallen Empires expansion takes place on which continent?","Sarpadia","Otaria|Terisiare|Shiv"
"Entertainment: Cartoon &amp; Animations","multiple","medium","Which city did Anger berate for ruining pizza in &quot;Inside Out&quot;?","San Francisco","Minnesota|Washington|California"
"Entertainment: Video Games","multiple","easy","In Grand Theft Auto V, what was Michael De Santa&#039;s former surname?","Townley","De Santos|Watson|Simpson"
"Entertainment: Video Games","multiple","hard","In the &quot;Little Lost Girl&quot; Easter Egg in Call of Duty: Black Ops II, what&#039;s the last step required for the achievement?","Raise Hell","Freedom|Skewer the Winged Beast|Ascend from Darkness"
"Science: Computers","multiple","hard","How many Hz does the video standard PAL support?","50","59|60|25"
"Science &amp; Nature","multiple","medium","The humerus, paired radius, and ulna come together to form what joint?","Elbow","Knee|Sholder|Ankle"
"Entertainment: Video Games","multiple","easy","Which psychopath(s) in Dead Rising 1 gave you the small chainsaw?","Adam the Clown","Cliff Hudson|The convicts|Larry the butcher"
"Entertainment: Cartoon &amp; Animations","multiple","medium","Bugs Bunny, Tony the Tiger, and other bipedal animal characters are known as what type of character?","Anthropomorphic","Anthropolegic |Anthrologic|Anthrogenetic"
"Entertainment: Video Games","multiple","medium","In &quot;Resident Evil 2&quot;, which virus was William Birkin mutated by?","G-Virus","T-Virus|C-Virus|E-Virus"
"Entertainment: Music","multiple","hard","The song &quot;Old Town Road&quot; by American rapper Lil Nas X samples the song &quot;34 Ghosts IV&quot; by which band?","Nine Inch Nails","Death Grips|Iron Maiden|Animal Collective"
"Entertainment: Television","multiple","medium","In which year did the British television series &quot;The Bill&quot; end?","2010","2001|2007|2012"
"Entertainment: Film","multiple","medium","Which Marvel superhero did Chris Evans play prior to his role as Captain America?","Human Torch","Cyclops|Iceman|Daredevil"
"Science &amp; Nature","multiple","hard","Which one of these is scientific term for &quot;Brain Freeze&quot;?","Sphenopalatine Ganglioneuralgia","Hyacinthoides Italica|Amaranthus Retroflexus|Amblyomma Americanum"
"History","multiple","medium","In which year was Constantinople conquered by the Turks?","1453","1435|1454|1440"
"History","multiple","easy","Which one of these countries was NOT in the Central Powers during WWI?","Spain","Austria-Hungary|Turkey|Germany"
"Entertainment: Video Games","multiple","easy","What type of Pok&eacute;mon is Charizard?","Fire/Flying","Fire|Dragon|Fire/Dragon"
"Sports","multiple","hard","What is &ldquo;The Sport of Kings&rdquo;?","Horse Racing","Chess|Jousting|Fencing"
"Entertainment: Board Games","multiple","hard","Which of these cards from &quot;Magic: The Gathering&quot; has a flavor text that begins with &quot;Oi oi oi&quot;?","Uthden Troll","Lotleth Troll|Albino Troll|Harvester Troll"
"Entertainment: Video Games","multiple","medium","In Terraria, what does the Wall of Flesh not drop upon defeat?","Picksaw","Pwnhammer|Breaker Blade|Laser Rifle"
"Entertainment: Film","multiple","easy","Who plays protagonist Ethan Hunt in the &quot;Mission: Impossible&quot; film-series?","Tom Cruise","Johnny Depp|Sean Connery|Pierce Brosnan"
"Geography","multiple","hard","What is the largest city and commercial capital of Sri Lanka?","Colombo","Moratuwa|Negombo|Kandy"
"History","multiple","hard","Which English king was married to Eleanor of Aquitaine?","Henry II","Richard I|Henry I|Henry V"
"Politics","multiple","hard","What is centralism?"," Concentration of power and authority in a central organization.","Conforming to one single common political agenda.|Remaining politically neutral.|The grey area in the spectrum of political left and right."
"Entertainment: Books","multiple","hard","In the Harry Potter universe, what is Cornelius Fudge&#039;s middle name?","Oswald","James|Harold|Christopher"
"Geography","multiple","easy","Which nation claims ownership of Antarctica?","No one, but there are claims.","United States of America|United Nations|Australia"
"Science: Gadgets","multiple","easy","What is the name of a simple machine that is made up of a stiff arm that can move freely around a fixed point?","Lever","Wedge|Screw|Pulley"
